feature,mean_abs_shap
labvalues_white_blood_cells_std,0.00013557984
labvalues_urea_nitrogen_max,0.00013029743
labvalues_ptt_std,0.000130261
labvalues_urea_nitrogen_last,0.00012548253
"labvalues_fibrinogen,_functional_mean",0.000121967336
labvalues_potassium_first,0.00012161427
labvalues_free_calcium_mean,0.00011994511
labvalues_absolute_lymphocyte_count_min,0.000117770454
labvalues_absolute_eosinophil_count_rate_change_m,0.00011606176
labvalues_eosinophils_last,0.00010485326
vitals_resprate_rate_change,9.645674e-05
labvalues_urea_nitrogen_coeff,9.252114e-05
labvalues_bands_min,9.114463e-05
labvalues_base_excess_rate_change_m,8.956294e-05
labvalues_carboxyhemoglobin_max,8.879363e-05
labvalues_ptt_first,8.820707e-05
labvalues_chloride_coeff,8.7389904e-05
vitals_acuity_m,8.449143e-05
labvalues_bands_mean,8.3059655e-05
labvalues_rdw_first,8.23458e-05
labvalues_basophils_rate_change_m,8.089025e-05
labvalues_inr(pt)_min,7.964988e-05
labvalues_phosphate_mean_m,7.958191e-05
labvalues_creatinine_coeff,7.94946e-05
labvalues_urea_nitrogen_rate_change,7.813586e-05
labvalues_sodium_min,7.552688e-05
labvalues_glucose_median,7.488757e-05
labvalues_pt_std,7.487737e-05
labvalues_absolute_lymphocyte_count_rate_change_m,7.468337e-05
labvalues_alkaline_phosphatase_last,7.39039e-05
labvalues_sodium_last,7.329178e-05
labvalues_base_excess_max,7.073225e-05
labvalues_lymphocytes_rate_change,6.514243e-05
labvalues_red_blood_cells_std,6.3839536e-05
labvalues_rdw_std,6.287262e-05
labvalues_oxygen_saturation_mean,6.0093604e-05
labvalues_basophils_last,5.9318623e-05
labvalues_bicarbonate_std,5.9053546e-05
labvalues_red_blood_cells_rate_change,5.5841334e-05
labvalues_ph_mean_m,5.583507e-05
labvalues_bicarbonate_rate_change,5.5628214e-05
labvalues_oxygen_saturation_max,5.2252464e-05
labvalues_sodium_rate_change,4.6019402e-05
labvalues_hemoglobin_std,4.5526805e-05
labvalues_base_excess_coeff,4.4168995e-05
labvalues_hemoglobin_rate_change,4.3687185e-05
labvalues_pt_first,4.0152314e-05
labvalues_eosinophils_std,3.7836446e-05
labvalues_lactate_coeff,3.7831167e-05
labvalues_absolute_basophil_count_rate_change_m,3.722974e-05
labvalues_lymphocytes_std,3.6228997e-05
"labvalues_bilirubin,_direct_mean",3.580377e-05
labvalues_eosinophils_rate_change,3.1028387e-05
labvalues_bands_mean_m,3.0685787e-05
labvalues_chloride_rate_change,2.9480327e-05
labvalues_red_blood_cells_last,2.8206056e-05
labvalues_oxygen_saturation_first,2.8060078e-05
labvalues_ptt_rate_change,2.76918e-05
labvalues_hemoglobin_mean_m,2.7137714e-05
labvalues_ph_mean,2.4994657e-05
labvalues_base_excess_median,2.2437616e-05
labvalues_pco2_last,2.2407596e-05
labvalues_free_calcium_max,2.2280477e-05
labvalues_ph_min,2.1954304e-05
labvalues_eosinophils_coeff,2.118227e-05
labvalues_absolute_basophil_count_max,2.0765172e-05
labvalues_free_calcium_first,1.9799132e-05
labvalues_basophils_mean_m,1.7168331e-05
labvalues_ptt_coeff,1.6122438e-05
labvalues_glucose_coeff,1.5547403e-05
labvalues_bicarbonate_first,1.45682925e-05
labvalues_free_calcium_mean_m,1.4390543e-05
labvalues_oxygen_saturation_last,1.4360682e-05
labvalues_pco2_std,1.3950297e-05
labvalues_oxygen_saturation_min,1.3664622e-05
vitals_temperature_rate_change,1.2271339e-05
labvalues_albumin_rate_change,1.2127878e-05
"labvalues_fibrinogen,_functional_mean_m",1.1059525e-05
labvalues_creatine_kinase_(ck)_rate_change,1.1022178e-05
labvalues_ph_max,1.0138424e-05
labvalues_ptt_max,9.94906e-06
labvalues_pco2_rate_change,9.724229e-06
labvalues_asparate_aminotransferase_(ast)_rate_change,9.434174e-06
labvalues_oxygen_saturation_coeff,8.724797e-06
labvalues_asparate_aminotransferase_(ast)_std,8.6498685e-06
labvalues_magnesium_std,7.0807964e-06
labvalues_oxygen_saturation_rate_change,6.9307916e-06
labvalues_absolute_basophil_count_mean_m,6.5331333e-06
labvalues_ph_coeff,4.853567e-06
"labvalues_bilirubin,_direct_mean_m",4.731256e-06
labvalues_troponin_t_min,4.1522358e-06
labvalues_oxygen_saturation_std,3.2927653e-06
labvalues_asparate_aminotransferase_(ast)_coeff,3.0279032e-06
labvalues_alkaline_phosphatase_std,2.9223118e-06
labvalues_creatine_kinase_(ck)_std,2.4667506e-06
labvalues_platelet_count_coeff,1.2649361e-06
labvalues_sodium_std,1.1743216e-06
"labvalues_fibrinogen,_functional_coeff_m",0.0
labvalues_hemoglobin_rate_change_m,0.0
labvalues_free_calcium_median_m,0.0
labvalues_lactate_median_m,0.0
labvalues_free_calcium_min_m,0.0
labvalues_hemoglobin_coeff_m,0.0
labvalues_free_calcium_max_m,0.0
labvalues_absolute_basophil_count_coeff,0.0
labvalues_inr(pt)_rate_change_m,0.0
labvalues_inr(pt)_median_m,0.0
labvalues_inr(pt)_min_m,0.0
labvalues_inr(pt)_last_m,0.0
labvalues_inr(pt)_max_m,0.0
labvalues_inr(pt)_first_m,0.0
labvalues_inr(pt)_std_m,0.0
labvalues_inr(pt)_coeff_m,0.0
labvalues_glucose_max_m,0.0
labvalues_glucose_std_m,0.0
labvalues_glucose_first_m,0.0
labvalues_glucose_last_m,0.0
labvalues_glucose_rate_change_m,0.0
labvalues_glucose_coeff_m,0.0
labvalues_absolute_eosinophil_count_median,0.0
labvalues_hematocrit_median_m,0.0
labvalues_hematocrit_min_m,0.0
labvalues_hematocrit_max_m,0.0
labvalues_hematocrit_std_m,0.0
labvalues_hematocrit_first_m,0.0
labvalues_hematocrit_last_m,0.0
labvalues_hemoglobin_first_m,0.0
labvalues_glucose_min_m,0.0
labvalues_glucose_median_m,0.0
labvalues_free_calcium_coeff_m,0.0
labvalues_free_calcium_rate_change_m,0.0
labvalues_hematocrit_coeff_m,0.0
labvalues_hemoglobin_median_m,0.0
labvalues_hemoglobin_min_m,0.0
labvalues_free_calcium_last_m,0.0
labvalues_hemoglobin_max_m,0.0
labvalues_free_calcium_first_m,0.0
labvalues_hemoglobin_std_m,0.0
labvalues_free_calcium_std_m,0.0
labvalues_hemoglobin_last_m,0.0
labvalues_hematocrit_rate_change_m,0.0
"labvalues_calcium,_total_median_m",0.0
"labvalues_calcium,_total_min_m",0.0
"labvalues_calcium,_total_max_m",0.0
"labvalues_calcium,_total_std_m",0.0
"labvalues_calcium,_total_first_m",0.0
"labvalues_calcium,_total_last_m",0.0
"labvalues_calcium,_total_rate_change_m",0.0
"labvalues_calcium,_total_coeff_m",0.0
labvalues_carboxyhemoglobin_mean_m,0.0
labvalues_carboxyhemoglobin_median_m,0.0
labvalues_absolute_basophil_count_rate_change,0.0
labvalues_carboxyhemoglobin_max_m,0.0
labvalues_carboxyhemoglobin_std_m,0.0
labvalues_carboxyhemoglobin_first_m,0.0
labvalues_carboxyhemoglobin_last_m,0.0
labvalues_carboxyhemoglobin_rate_change_m,0.0
labvalues_carboxyhemoglobin_coeff_m,0.0
labvalues_absolute_eosinophil_count_last,0.0
labvalues_chloride_median_m,0.0
labvalues_chloride_min_m,0.0
labvalues_chloride_max_m,0.0
labvalues_chloride_std_m,0.0
labvalues_carboxyhemoglobin_min_m,0.0
"labvalues_bilirubin,_direct_max_m",0.0
"labvalues_bilirubin,_direct_first_m",0.0
"labvalues_bilirubin,_direct_last_m",0.0
"labvalues_bilirubin,_direct_rate_change_m",0.0
"labvalues_bilirubin,_direct_coeff_m",0.0
"labvalues_bilirubin,_total_median_m",0.0
"labvalues_bilirubin,_total_min_m",0.0
"labvalues_bilirubin,_total_max_m",0.0
"labvalues_bilirubin,_total_std_m",0.0
"labvalues_bilirubin,_total_first_m",0.0
labvalues_absolute_eosinophil_count_rate_change,0.0
labvalues_absolute_lymphocyte_count_median,0.0
"labvalues_bilirubin,_total_coeff_m",0.0
labvalues_absolute_eosinophil_count_coeff,0.0
labvalues_c-reactive_protein_median_m,0.0
labvalues_c-reactive_protein_min_m,0.0
labvalues_c-reactive_protein_max_m,0.0
labvalues_c-reactive_protein_std_m,0.0
labvalues_c-reactive_protein_first_m,0.0
labvalues_c-reactive_protein_last_m,0.0
labvalues_c-reactive_protein_rate_change_m,0.0
labvalues_c-reactive_protein_coeff_m,0.0
"labvalues_bilirubin,_total_last_m",0.0
labvalues_creatinine_min_m,0.0
labvalues_creatinine_max_m,0.0
labvalues_creatinine_std_m,0.0
labvalues_creatinine_first_m,0.0
labvalues_creatinine_last_m,0.0
labvalues_creatinine_rate_change_m,0.0
labvalues_creatinine_coeff_m,0.0
labvalues_eosinophils_mean_m,0.0
labvalues_eosinophils_median_m,0.0
labvalues_eosinophils_min_m,0.0
labvalues_chloride_first_m,0.0
labvalues_eosinophils_std_m,0.0
labvalues_eosinophils_first_m,0.0
labvalues_eosinophils_last_m,0.0
labvalues_eosinophils_coeff_m,0.0
"labvalues_fibrinogen,_functional_median_m",0.0
"labvalues_fibrinogen,_functional_min_m",0.0
"labvalues_fibrinogen,_functional_max_m",0.0
"labvalues_fibrinogen,_functional_std_m",0.0
"labvalues_fibrinogen,_functional_first_m",0.0
"labvalues_fibrinogen,_functional_last_m",0.0
"labvalues_fibrinogen,_functional_rate_change_m",0.0
labvalues_eosinophils_max_m,0.0
labvalues_chloride_last_m,0.0
labvalues_chloride_rate_change_m,0.0
labvalues_chloride_coeff_m,0.0
labvalues_absolute_eosinophil_count_first,0.0
labvalues_creatine_kinase_(ck)_median_m,0.0
labvalues_creatine_kinase_(ck)_min_m,0.0
labvalues_creatine_kinase_(ck)_max_m,0.0
labvalues_creatine_kinase_(ck)_std_m,0.0
labvalues_creatine_kinase_(ck)_first_m,0.0
labvalues_creatine_kinase_(ck)_last_m,0.0
labvalues_creatinine_median_m,0.0
labvalues_creatine_kinase_(ck)_coeff_m,0.0
