True_Label,MLP_Original_Probability,MLP_Platt_Scaling,MLP_Isotonic_Regression
0.0,0.02794504538178444,0.05676138095008864,0.030364371836185455
0.0,0.013283727690577507,0.05209753784357827,0.014825796708464622
0.0,0.0062278700061142445,0.04998428571759889,0.001792114693671465
0.0,0.2800658345222473,0.22248238064808484,0.41747573018074036
0.0,0.010165569372475147,0.051153422310217696,0.0117647061124444
0.0,0.0710066705942154,0.07282016121531602,0.06666667014360428
0.0,0.022625593468546867,0.055025538114449844,0.014825796708464622
0.0,0.037288542836904526,0.05993549487693259,0.04471544548869133
0.0,0.01572919450700283,0.05284947345778502,0.014825796708464622
0.0,0.02967623434960842,0.05733731816325185,0.030364371836185455
0.0,0.018328286707401276,0.053659872885603664,0.014825796708464622
0.0,0.03840488940477371,0.06032566589422528,0.04471544548869133
0.0,0.13521534204483032,0.10460576822487673,0.21910113096237183
0.0,0.008162936195731163,0.05055562560560078,0.0060240961611270905
0.0,0.010826933197677135,0.051352307766634527,0.014825796708464622
0.0,0.057607945054769516,0.06741975159529512,0.0635538250207901
0.0,0.09153163433074951,0.08186889964718978,0.12790697813034058
1.0,0.030821872875094414,0.05772146580344683,0.03999999910593033
0.0,0.0032108249142766,0.04910567460630777,0.0
0.0,0.021131034940481186,0.05454690121491643,0.014825796708464622
0.0,0.035995133221149445,0.05948639393784236,0.04471544548869133
0.0,0.06165606901049614,0.06901096207723734,0.0635538250207901
0.0,0.02535914070904255,0.05591121293698584,0.030364371836185455
1.0,0.21908509731292725,0.1640517224433284,0.37681159377098083
0.0,0.013812948949635029,0.052259401497852694,0.014825796708464622
0.0,0.1215951219201088,0.09697494106615659,0.21910113096237183
0.0,0.02950775809586048,0.057281028769414016,0.030364371836185455
0.0,0.06125254929065704,0.06885080179678651,0.0635538250207901
0.0,0.04309283196926117,0.06199021640745682,0.0635538250207901
0.0,0.01339106634259224,0.05213032929197153,0.014825796708464622
0.0,0.2054470032453537,0.152810240624907,0.3571428656578064
0.0,0.020141465589404106,0.054232150215753214,0.014825796708464622
0.0,0.24917541444301605,0.1911900902650543,0.41747573018074036
0.0,0.014222799800336361,0.052385081782358,0.014825796708464622
0.0,0.13468621671199799,0.1042996698476266,0.21910113096237183
0.0,0.1295403242111206,0.10136384705556487,0.21910113096237183
1.0,0.15064860880374908,0.11388873185941019,0.26923078298568726
