True_Label,MC_Dropout_Probability,MC_Dropout_Platt_Scaling,MC_Dropout_Isotonic_Regression
0.0,0.08629989624023438,0.06344316186062161,0.08130080997943878
0.0,0.00651845196262002,0.036271637164082465,0.005093378480523825
0.0,0.007850886322557926,0.03661630820227518,0.005093378480523825
0.0,0.026094140484929085,0.041663653932426714,0.024449877440929413
1.0,0.7233333587646484,0.8808623545010521,0.8111110925674438
0.0,0.05352730676531792,0.050522930310141996,0.05116279050707817
0.0,0.09759503602981567,0.06857034660020346,0.08130080997943878
0.0,0.058307550847530365,0.05223912179498629,0.05116279050707817
1.0,0.042085785418748856,0.04662961164430167,0.05116279050707817
0.0,0.011339911259710789,0.037533830300088736,0.006849315017461777
0.0,0.011920865625143051,0.03768873675279947,0.006849315017461777
1.0,0.05897129699587822,0.05248173087088735,0.05116279050707817
0.0,0.03747148811817169,0.045141602553948765,0.04516129195690155
0.0,0.043289151042699814,0.04702527562934933,0.05116279050707817
0.0,0.02753184735774994,0.042088580862616555,0.024449877440929413
0.0,0.07612636685371399,0.05913321448598621,0.05116279050707817
0.0,0.4846729636192322,0.5603388346051058,0.5062500238418579
0.0,0.12016104906797409,0.07997927623698267,0.12678936123847961
0.0,0.17691287398338318,0.1166474706725429,0.21132075786590576
0.0,0.07714781165122986,0.05955323929532928,0.05116279050707817
0.0,0.007710371632128954,0.036579812083394565,0.005093378480523825
0.0,0.008068274706602097,0.03667283988075264,0.006849315017461777
0.0,0.13658495247364044,0.08934633311461494,0.12678936123847961
0.0,0.06095863878726959,0.05321451247486106,0.05116279050707817
0.0,0.2031497061252594,0.13808404805257726,0.21132075786590576
0.0,0.004135356284677982,0.03566295517990783,0.005093378480523825
0.0,0.0223968718200922,0.04058966104957842,0.018691588193178177
0.0,0.009982962161302567,0.037174391711959937,0.006849315017461777
1.0,0.6565073132514954,0.8188165230997977,0.7200000286102295
0.0,0.06459105759859085,0.054578888588913105,0.05116279050707817
0.0,0.10412721335887909,0.07170817410642642,0.12678936123847961
0.0,0.18272501230239868,0.12113207983952877,0.21132075786590576
0.0,0.06768517196178436,0.05576700336892517,0.05116279050707817
0.0,0.0030716117471456528,0.035394443383753985,0.005093378480523825
0.0,0.028874225914478302,0.04248907068281903,0.024449877440929413
0.0,0.7914283871650696,0.9242988309424517,0.8571428656578064
0.0,0.016190767288208008,0.03884626018652114,0.007610349915921688
0.0,0.02288030833005905,0.04072856970991934,0.018691588193178177
1.0,0.041617389768362045,0.04647646184242551,0.05116279050707817
0.0,0.0027554063126444817,0.03531500257848243,0.005093378480523825
0.0,0.13466830551624298,0.08820420830256297,0.12678936123847961
0.0,0.03319505602121353,0.04380302770321582,0.02500000037252903
0.0,0.05417646840214729,0.050752819693643675,0.05116279050707817
0.0,0.02891720086336136,0.04250195195173004,0.024449877440929413
0.0,0.05789870768785477,0.052090211340248854,0.05116279050707817
0.0,0.2370281219482422,0.17055048445226126,0.24444444477558136
0.0,0.014586646109819412,0.03840745329465147,0.007610349915921688
0.0,0.03677788004279137,0.04492187709255242,0.029702970758080482
0.0,0.018004057928919792,0.03934807777379399,0.007610349915921688
0.0,0.05957911163568497,0.05270482937637812,0.05116279050707817
0.0,0.009075071662664413,0.03693575319272501,0.006849315017461777
0.0,0.052311524748802185,0.05009503208491565,0.05116279050707817
0.0,0.48443901538848877,0.5599142218330214,0.5062500238418579
0.0,0.004769484046846628,0.03582395470189914,0.005093378480523825
0.0,0.061808329075574875,0.05353075228015792,0.05116279050707817
0.0,0.024913597851991653,0.04131780530387265,0.024449877440929413
0.0,0.08150608092546463,0.061376968006117465,0.051948051899671555
0.0,0.19720201194286346,0.13295170608964105,0.21132075786590576
0.0,0.07242804765701294,0.05763555962441219,0.05116279050707817
1.0,0.45898905396461487,0.5133312322024937,0.5062500238418579
0.0,0.04535413160920143,0.04771168392829748,0.05116279050707817
0.0,0.08984089642763138,0.0650108269268775,0.08130080997943878
0.0,0.02988855354487896,0.04279410155406696,0.024449877440929413
0.0,0.025143077597022057,0.041384817282225074,0.024449877440929413
0.0,0.040553949773311615,0.04613052690555217,0.04516129195690155
0.0,0.016746914014220238,0.03899951408503113,0.007610349915921688
1.0,0.7210573554039001,0.8790915882306606,0.8111110925674438
0.0,0.017876610159873962,0.039312605142574925,0.007610349915921688
1.0,0.20182567834854126,0.13692732024909454,0.21132075786590576
0.0,0.04235638678073883,0.04671830791511754,0.05116279050707817
0.0,0.011651184409856796,0.03761675234723668,0.006849315017461777
1.0,0.5294694304466248,0.6393465522372404,0.6882352828979492
0.0,0.0319245308637619,0.043412689858214025,0.02500000037252903
0.0,0.0058143907226622105,0.03609077513496449,0.005093378480523825
0.0,0.30593186616897583,0.2546139952702792,0.3535911738872528
1.0,0.2842100262641907,0.2254529649905199,0.3535911738872528
0.0,0.014028267003595829,0.03825582831521788,0.007610349915921688
0.0,0.03105701133608818,0.04314807566162252,0.02500000037252903
0.0,0.01963205635547638,0.039803908505853754,0.007610349915921688
0.0,0.010121197439730167,0.03721085656699601,0.006849315017461777
0.0,0.018267275765538216,0.039421436578084765,0.007610349915921688
0.0,0.013951613567769527,0.03823505838815587,0.007610349915921688
0.0,0.138535737991333,0.09052248079931441,0.12678936123847961
0.0,0.04736541584134102,0.04838938490982088,0.05116279050707817
0.0,0.09333290159702301,0.0665920359681983,0.08130080997943878
0.0,0.060882147401571274,0.053186130390911385,0.05116279050707817
0.0,0.009447417221963406,0.037033445302454386,0.006849315017461777
0.0,0.17573785781860352,0.11575853315051175,0.21132075786590576
0.0,0.06627831608057022,0.05522379457271989,0.05116279050707817
0.0,0.12154534459114075,0.08073284631008414,0.12678936123847961
0.0,0.02240733429789543,0.040592662486006965,0.018691588193178177
0.0,0.0116853853687644,0.03762587408602388,0.006849315017461777
0.0,0.047284454107284546,0.0483619292671643,0.05116279050707817
0.0,0.03126176819205284,0.04321039219830689,0.02500000037252903
0.0,0.011470485478639603,0.03756859339204486,0.006849315017461777
1.0,0.41445469856262207,0.43174787505492884,0.5062500238418579
0.0,0.04888272285461426,0.04890667655158072,0.05116279050707817
0.0,0.023186905309557915,0.04081690179442373,0.018691588193178177
0.0,0.1779100000858307,0.11740647026360157,0.21132075786590576
0.0,0.03128945454955101,0.04321882497002739,0.02500000037252903
0.0,0.05550505220890045,0.05122640483778548,0.05116279050707817
0.0,0.048367395997047424,0.048730401890262016,0.05116279050707817
0.0,0.3785168528556824,0.3683135681329186,0.353658527135849
0.0,0.1999041885137558,0.13526313537180043,0.21132075786590576
0.0,0.013799536041915417,0.038193883683544365,0.007610349915921688
0.0,0.019382841885089874,0.03973380311178959,0.007610349915921688
0.0,0.005535127595067024,0.03601927762375384,0.005093378480523825
0.0,0.007101273164153099,0.036422014155778136,0.005093378480523825
1.0,0.7123222351074219,0.8720836438327236,0.8111110925674438
0.0,0.09175486862659454,0.06587311383924585,0.08130080997943878
0.0,0.008948939852416515,0.03690271628397222,0.006849315017461777
0.0,0.24182552099227905,0.17560813087547006,0.24444444477558136
0.0,0.1096053197979927,0.07444126962039127,0.12678936123847961
0.0,0.16247598826885223,0.10612797617636963,0.21132075786590576
0.0,0.014968471601605415,0.038511468027359615,0.007610349915921688
0.0,0.05416421592235565,0.050748471536012946,0.05116279050707817
0.0,0.07955902814865112,0.0605558553957489,0.051948051899671555
0.0,0.09201328456401825,0.06599034732698744,0.08130080997943878
0.0,0.01271151378750801,0.03790054338804852,0.006849315017461777
0.0,0.038227155804634094,0.045382152968838615,0.04516129195690155
0.0,0.16622282564640045,0.10877494469330228,0.21132075786590576
0.0,0.21447984874248505,0.14832084641525609,0.21132075786590576
0.0,0.23307189345359802,0.1664672591578633,0.24444444477558136
0.0,0.012841726653277874,0.03793553558554285,0.006849315017461777
0.0,0.03335152938961983,0.04385133132668361,0.02500000037252903
0.0,0.03755609318614006,0.045168474235647564,0.04516129195690155
0.0,0.0703941136598587,0.056827155304372344,0.05116279050707817
0.0,0.006056190002709627,0.03615279140642054,0.005093378480523825
0.0,0.024613134562969208,0.041230221890649434,0.024449877440929413
0.0,0.003362902207300067,0.03546777707184318,0.005093378480523825
0.0,0.005336725618690252,0.035968565212030575,0.005093378480523825
0.0,0.060500189661979675,0.0530446188732788,0.05116279050707817
0.0,0.2943965792655945,0.2388257867718955,0.3535911738872528
0.0,0.11524425446987152,0.07735437688048116,0.12678936123847961
0.0,0.5307289361953735,0.6414831449214813,0.6882352828979492
0.0,0.14315472543239594,0.09336305127055711,0.12678936123847961
1.0,0.3089573383331299,0.2588668411106986,0.3535911738872528
0.0,0.00723908469080925,0.0364576592832926,0.005093378480523825
0.0,0.015062971971929073,0.038537252996841125,0.007610349915921688
0.0,0.03285422921180725,0.04369798950192298,0.02500000037252903
0.0,0.459849089384079,0.5149138235041518,0.5062500238418579
0.0,0.024671947583556175,0.04124735156939918,0.024449877440929413
0.0,0.05761903151869774,0.05198857775185412,0.05116279050707817
0.0,0.04258653521537781,0.046793870978993006,0.05116279050707817
0.0,0.19079799950122833,0.12760712150990408,0.21132075786590576
0.0,0.011636238545179367,0.037612766802458564,0.006849315017461777
0.0,0.055458955466747284,0.051209903470834685,0.05116279050707817
0.0,0.2210414558649063,0.15453107735287097,0.24444444477558136
0.0,0.025481587275862694,0.041483857722644325,0.024449877440929413
0.0,0.018804319202899933,0.039571517551335554,0.007610349915921688
0.0,0.046929191797971725,0.04824162786077507,0.05116279050707817
1.0,0.2978562116622925,0.24348949475764337,0.3535911738872528
1.0,0.337955117225647,0.3019023756288283,0.3535911738872528
0.0,0.010625885799527168,0.03734427963065347,0.006849315017461777
0.0,0.064299076795578,0.054468010011488814,0.05116279050707817
0.0,0.006363942753523588,0.036231871672040054,0.005093378480523825
0.0,0.006348030641674995,0.03622777881149521,0.005093378480523825
1.0,0.7855780720710754,0.9212276878498354,0.8571428656578064
0.0,0.002388786757364869,0.03522311118285058,0.005093378480523825
0.0,0.020889433100819588,0.04015942725846353,0.018691588193178177
0.0,0.02096790261566639,0.04018171481342332,0.018691588193178177
0.0,0.1363259255886078,0.089191203783478,0.12678936123847961
0.0,0.0075277769938111305,0.03653243875005101,0.005093378480523825
0.0,0.02306300587952137,0.040781183701537035,0.018691588193178177
0.0,0.01135978102684021,0.03753911828172233,0.006849315017461777
0.0,0.08157616853713989,0.06140671860098036,0.051948051899671555
1.0,0.6751739382743835,0.8383303198989953,0.8111110925674438
0.0,0.006016931496560574,0.03614271548096104,0.005093378480523825
0.0,0.3342668116092682,0.29620714652700414,0.3535911738872528
0.0,0.02722550928592682,0.04199769396358604,0.024449877440929413
1.0,0.5670417547225952,0.7004212272287892,0.6882352828979492
0.0,0.010514847002923489,0.03731488521125621,0.006849315017461777
0.0,0.04000309854745865,0.04595230077472196,0.04516129195690155
0.0,0.017879938706755638,0.03931353118930825,0.007610349915921688
1.0,0.7496610879898071,0.8997603187341159,0.8111110925674438
0.0,0.009389695711433887,0.03701828468390115,0.006849315017461777
0.0,0.16173700988292694,0.10561267027013911,0.21132075786590576
0.0,0.03450524061918259,0.04420905609490132,0.02500000037252903
