prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.019,CrossFit,LR,0.675,-,<0.80,-,-,-,-,-
0.019,Simple,MLP,0.675,-,<0.80,-,-,-,-,-
0.019,CrossFit,MLP,0.675,-,<0.80,-,-,-,-,-
0.019,Simple,XGB,0.675,-,<0.80,-,-,-,-,-
0.019,CrossFit,XGB,0.675,-,<0.80,-,-,-,-,-
0.02,Baseline,-,0.675,-,0.675,0.0,27,379,13,5650
0.02,Simple,LR,0.675,-,<0.80,-,-,-,-,-
0.02,CrossFit,LR,0.675,-,<0.80,-,-,-,-,-
0.02,Simple,MLP,0.675,-,<0.80,-,-,-,-,-
0.02,CrossFit,MLP,0.675,-,<0.80,-,-,-,-,-
0.02,Simple,XGB,0.675,-,<0.80,-,-,-,-,-
0.02,CrossFit,XGB,0.675,-,<0.80,-,-,-,-,-
0.021,Baseline,-,0.675,-,0.675,0.0,27,359,13,5670
0.021,Simple,LR,0.675,-,<0.80,-,-,-,-,-
0.021,CrossFit,LR,0.675,-,<0.80,-,-,-,-,-
0.021,Simple,MLP,0.675,-,<0.80,-,-,-,-,-
0.021,CrossFit,MLP,0.675,-,<0.80,-,-,-,-,-
0.021,Simple,XGB,0.675,-,<0.80,-,-,-,-,-
0.021,CrossFit,XGB,0.675,-,<0.80,-,-,-,-,-
0.022,Baseline,-,0.65,-,0.65,0.0,26,333,14,5696
0.022,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.022,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.022,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.022,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.022,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.022,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.023,Baseline,-,0.65,-,0.65,0.0,26,314,14,5715
0.023,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.023,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.023,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.023,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.023,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.023,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.024,Baseline,-,0.65,-,0.65,0.0,26,295,14,5734
0.024,Simple,LR,0.65,-,<0.80,-,-,-,-,-
